,birthdate,gender,id,vetek
0,19.06.1967,F,943,232.0
1,"february 13, 1979",M,966,28.0
2,19/11/1993,M,250,48.0
3,02/02/1961,null,156,272.0
4,07/03/1965,M,67,130.0
5,01/01/1900,M,684,169.0
6,01/01/1900,M,527,141.0
7,19/03/1975,M,556,286.0
8,09/05/1976,M,446,45.0
9,"september 5, 1977",M,841,252.0
10,16/09/1972,M,126,271.0
11,15/09/1967,male,910,209.0
12,17/02/1971,M,112,322.0
13,26/06/1975,male,191,37.0
14,26/03/1988,M,739,218.0
15,12/08/1984,M,579,99.0
16,20/06/1980,M,111,275.0
17,25/07/1978,M,285,353.0
18,04/09/1966,M,796,127.0
19,23/09/1983,m,310,309.0
20,18/03/1986,male,458,64.0
21,23/10/1961,M,884,204.0
22,15/11/1978,M,335,278.0
23,27/10/1969,M,521,303.0
24,01/01/1900,M,887,9.0
25,13/02/1986,M,601,75.0
26,27/10/1986,M,11,215.0
27,03/02/1973,M,624,244.0
28,26/10/1967,M,737,94.0
29,07/04/1975,m,823,125.0
30,16/04/1962,M,752,142.0
31,12/10/1971,m,732,179.0
32,03/10/1964,M,493,85.0
33,10/06/1977,M,159,235.0
34,01/01/1900,M,225,226.0
35,12/08/1971,M,784,86.0
36,08/07/1976,M,171,155.0
37,"december 4, 1992",F,460,118.0
38,14/11/1960,M,408,312.0
39,"june 11, 1965",M,239,360.0
40,"march 21, 1971",M,812,337.0
41,"may 26, 1967",M,896,10.0
42,04/09/1960,M,354,147.0
43,19/02/1965,M,574,108.0
44,20/02/1960,boy,186,227.0
45,10/11/1981,M,381,34.0
46,01/06/1979,M,898,9.0
47,"september 14, 1993",M,405,54.0
48,20/08/1960,M,439,103.0
49,21/09/1987,boy,532,193.0
50,01/01/1900,M,665,215.0
51,04/06/1972,,962,289.0
52,14/11/1988,M,303,218.0
53,02/11/1984,M,996,175.0
54,09/06/1970,unknown,836,74.0
55,17/01/1990,boy,840,109.0
56,03/09/1989,M,459,131.0
57,06/07/1963,M,611,148.0
58,01/01/1900,M,467,192.0
59,16/05/1979,male,786,0.0
60,11/06/1974,m,23,322.0
61,24/08/1978,M,302,78.0
62,05/06/1986,M,289,169.0
63,07.08.1968,M,155,141.0
64,14/02/1974,M,327,309.0
65,09/10/1964,M,114,337.0
66,24.01.1971,unknown,756,95.0
67,11/04/1980,male,880,212.0
68,03/05/1969,M,660,321.0
69,21/09/1985,male,454,82.0
70,22/01/1963,woman,969,265.0
71,27/01/1990,M,176,327.0
72,18/07/1978,M,432,318.0
73,23/04/1979,M,531,331.0
74,01/01/1900,M,101,313.0
75,19/02/1989,M,738,92.0
76,"january 17, 1961",M,271,141.0
77,03.10.1966,M,423,211.0
78,04/02/1978,M,765,296.0
79,12/02/1981,M,691,129.0
80,23/01/1990,,533,49.0
81,03/02/1986,male,716,361.0
82,03/05/1967,M,922,292.0
83,21/10/1979,M,174,331.0
84,07/11/1986,M,200,242.0
85,16/02/1991,M,316,79.0
86,"november 24, 1960",M,307,265.0
87,21/03/1992,M,882,219.0
88,06/03/1974,M,706,112.0
89,"august 17, 1990",M,829,194.0
90,20/04/1993,M,719,356.0
91,01/01/1987,M,935,121.0
92,10/02/1990,F,68,351.0
93,27/08/1961,unknown,815,100.0
94,06/04/1982,M,747,242.0
95,16/08/1990,M,798,144.0
96,05/06/1967,M,865,103.0
97,02/10/1972,M,399,312.0
98,16/03/1979,M,509,172.0
99,27/10/1977,M,308,324.0
