phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1398352,out-call,1305,31.4439440317,34.3764844422
050-8058995,out-call,3051,31.4759934282,34.4195025259
050-8214010,out-call,1543,31.4173677607,34.3635157979
050-1132258,in-call,15,31.4092559526,34.3702509536
050-8869621,in-call,567,31.4592709204,34.4204994164
050-8907515,in-call,75,31.4118632426,34.3778975067
050-3033615,out-call,3147,31.4713255983,34.4225456814
050-1225508,out-call,35,31.4726261904,34.4280875368
050-3311516,out-call,195,31.4546087389,34.4050412356
050-3211104,out-call,2417,31.4380983029,34.3912089625
050-3486256,out-call,3295,31.4515613586,34.4088163385
