phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5938491,in-call,65,31.456208774,34.4190897544
050-8512333,in-call,10,31.4152623713,34.3655671442
050-4514938,out-call,521,31.4611770439,34.4278935604
050-6170632,out-call,34,31.4433977902,34.3961668095
050-3582404,out-call,84,31.4591949313,34.4003052328
050-6860014,in-call,97,31.4632295485,34.4380686657
050-9095006,in-call,2602,31.4615968197,34.4297037317
050-8560191,out-call,32,31.4362700161,34.3901563359
050-9007655,out-call,379,31.4403933907,34.4088125735
050-3560018,out-call,25,31.402690514,34.365535592
050-9634222,out-call,107,31.4178056991,34.3884559182
050-9824353,in-call,89,31.4185385003,34.3684563488
